Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2022-01-17 17:00:00,,,0.143392,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2022-01-17.OSMO
2022-01-16 17:00:00,,,0.141309,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2022-01-16.OSMO
2022-01-15 17:00:00,,,0.140435,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2022-01-15.OSMO
2022-01-14 17:00:00,,,0.137568,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2022-01-14.OSMO
2022-01-13 17:00:00,,,0.159436,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2022-01-13.OSMO
2022-01-12 17:00:00,,,0.157821,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2022-01-12.OSMO
2022-01-11 17:00:00,,,0.156118,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2022-01-11.OSMO
2022-01-10 17:00:00,,,0.151135,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2022-01-10.OSMO
2022-01-09 17:00:00,,,0.145746,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2022-01-09.OSMO
2022-01-08 17:00:00,,,0.145142,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2022-01-08.OSMO
2022-01-07 17:00:00,,,0.140171,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2022-01-07.OSMO
